,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,RemoteWork
0,51,No,,684.0,,6,High School,"162,0",Very Low,Male,51.0,Medium,Director, Research Director ,Medium,,19537.0,6462,7,No,13,"3,0",Medium,Zero,,5,"3,0",20,15,15,Yes
1,52,No,,699.0,,1,Bachelor's,"259,0",Medium,Male,65.0,Low,Director, Manager ,Medium,,19999.0,5678,0,,14,"3,0",Very Low,Low,34.0,5,"3,0",33,11,9,Yes
2,42,No,Travel Rarely,532.0, Research & Development ,4,Secondary,"319,0",Medium,Male,58.0,Medium,Director, Manager ,High,Married,19232.0,4933,1,No,11,"3,0",High,Zero,22.0,3,,22,11,15,Yes
3,47,No,Travel Rarely,359.0,,2,Bachelor's,,Very Low,Female,82.0,Medium,Manager, Research Director ,Medium,Married,17169.0,26703,3,,19,"3,0",Low,Medium,,2,,20,5,6,No
4,46,No,,1319.0,,3,High School,,Very Low,Female,45.0,High,Manager, Sales Executive ,Very Low,Divorced,,7739,2,No,12,"3,0",High,Low,,5,"3,0",19,2,8,No
5,48,No,,117.0, Research & Development ,22,High School,"1900,0",High,Female,58.0,Medium,Manager, Manager ,High,,17174.0,2437,3,No,11,"3,0",Low,Low,,3,"3,0",22,4,7,Yes
6,59,No,,1435.0,,25,High School,"81,0",Very Low,Female,99.0,Medium,Coordinator, Sales Executive ,Very Low,,,2354,7,,11,"3,0",High,Zero,28.0,3,"2,0",21,7,9,Yes
7,42,No,Travel Rarely,635.0,,1,Primary,"387,0",Low,Male,99.0,Medium,Assistant, Sales Executive ,Medium,Married,,24532,1,No,25,"4,0",Medium,Zero,20.0,3,"3,0",20,11,6,No
8,41,No,,1276.0,,2,Postgraduate,,Low,Female,91.0,Medium,Manager, Manager ,Very Low,Married,16595.0,5626,7,No,16,"3,0",Low,Low,22.0,2,"3,0",18,11,8,Yes
9,41,No,Travel Frequently,840.0,,9,High School,"999,0",Very Low,Male,64.0,Medium,Director, Research Director ,Medium,,,3735,2,No,17,"3,0",Low,Low,21.0,2,"4,0",18,0,11,No
10,41,No,Non Travel,247.0,,7,Primary,"1035,0",Low,Female,55.0,Very Low,Director, Research Director ,Medium,,19973.0,20284,1,No,22,"4,0",Low,Medium,,3,"3,0",21,5,10,No
11,56,No,Travel Rarely,1369.0,,23,High School,,High,Male,68.0,Medium,Manager, Manufacturing Director ,Low,Married,13402.0,18235,4,Yes,12,,Very Low,Low,33.0,0,"3,0",19,15,9,No
12,38,No,,201.0,,10,High School,,Low,Female,99.0,Very Low,Coordinator, Research Director ,Medium,Married,13206.0,3376,3,No,12,"3,0",Very Low,Low,,3,"3,0",18,1,11,Yes
13,41,Yes,Travel Rarely,1360.0,,12,High School,"58,0",Low,Female,49.0,Medium,Director, Research Director ,Medium,Married,19545.0,16280,1,No,12,"3,0",High,Zero,,0,"3,0",22,15,8,No
14,55,No,,692.0,,14,Bachelor's,,Medium,Male,61.0,High,Director, Research Director ,Low,Single,,13339,8,No,11,"3,0",High,Zero,,3,"3,0",24,2,15,Yes
15,40,No,Travel Rarely,1398.0,,2,Bachelor's,"558,0",Medium,Female,79.0,Medium,Director, Manager ,Medium,,18041.0,13022,0,No,14,"3,0",High,Zero,,2,"3,0",20,1,12,No
16,58,Yes,Travel Rarely,286.0,,2,Bachelor's,"825,0",High,Male,31.0,Medium,Director, Research Director ,Low,Single,19246.0,25761,7,Yes,12,"3,0",High,Zero,40.0,2,"3,0",31,13,8,No
17,46,No,Travel Rarely,1402.0,,2,High School,,Medium,Female,69.0,Medium,Manager, Manager ,Very Low,,,24097,8,,23,"4,0",Very Low,Zero,28.0,2,"3,0",26,15,9,No
18,35,No,,819.0,,13,Postgraduate,,Low,Male,48.0,High,Assistant, Research Scientist ,Very Low,Married,,26312,1,,11,"3,0",High,Zero,,2,"3,0",16,1,10,No
