Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,RemoteWork
51,No,Unknown,684.0, Research & Development ,6,High School,"162,0",Very Low,Male,51.0,Medium,Director, Research Director ,Medium,Unknown,19537.0,6462,7,No,13,"3,0",Medium,Zero,32.587160985123965,5,"3,0",20,15,15,Yes
52,No,Unknown,699.0, Research & Development ,1,Bachelor's,"259,0",Medium,Male,65.0,Low,Director, Manager ,Medium,Unknown,19999.0,5678,0,No,14,"3,0",Very Low,Low,34.0,5,"3,0",33,11,9,Yes
42,No,Travel Rarely,532.0, Research & Development ,4,Secondary,"319,0",Medium,Male,58.0,Medium,Director, Manager ,High,Married,19232.0,4933,1,No,11,"3,0",High,Zero,22.0,3,"3,0",22,11,15,Yes
47,No,Travel Rarely,359.0, Research & Development ,2,Bachelor's,Unknown,Very Low,Female,82.0,Medium,Manager, Research Director ,Medium,Married,17169.0,26703,3,No,19,"3,0",Low,Medium,28.789779576697306,2,"3,0",20,5,6,No
46,No,Unknown,1319.0, Research & Development ,3,High School,Unknown,Very Low,Female,45.0,High,Manager, Sales Executive ,Very Low,Divorced,6399.663530605464,7739,2,No,12,"3,0",High,Low,11.52060986020989,5,"3,0",19,2,8,No
48,No,Unknown,117.0, Research & Development ,22,High School,"1900,0",High,Female,58.0,Medium,Manager, Manager ,High,Unknown,17174.0,2437,3,No,11,"3,0",Low,Low,28.79779769622523,3,"3,0",22,4,7,Yes
59,No,Unknown,1435.0, Research & Development ,25,High School,"81,0",Very Low,Female,99.0,Medium,Coordinator, Sales Executive ,Very Low,Unknown,14705.646260315134,2354,7,No,11,"3,0",High,Zero,28.0,3,"2,0",21,7,9,Yes
42,No,Travel Rarely,635.0, Research & Development ,1,Primary,"387,0",Low,Male,99.0,Medium,Assistant, Sales Executive ,Medium,Married,10673.466593833637,24532,1,No,25,"4,0",Medium,Zero,20.0,3,"3,0",20,11,6,No
41,No,Unknown,1276.0, Research & Development ,2,Postgraduate,Unknown,Low,Female,91.0,Medium,Manager, Manager ,Very Low,Married,16595.0,5626,7,No,16,"3,0",Low,Low,22.0,2,"3,0",18,11,8,Yes
41,No,Travel Frequently,840.0, Research & Development ,9,High School,"999,0",Very Low,Male,64.0,Medium,Director, Research Director ,Medium,Unknown,11177.489052143825,3735,2,No,17,"3,0",Low,Low,21.0,2,"4,0",18,0,11,No
41,No,Non Travel,247.0, Research & Development ,7,Primary,"1035,0",Low,Female,55.0,Very Low,Director, Research Director ,Medium,Unknown,19973.0,20284,1,No,22,"4,0",Low,Medium,33.28634100795928,3,"3,0",21,5,10,No
56,No,Travel Rarely,1369.0, Research & Development ,23,High School,Unknown,High,Male,68.0,Medium,Manager, Manufacturing Director ,Low,Married,13402.0,18235,4,Yes,12,"3,0",Very Low,Low,33.0,0,"3,0",19,15,9,No
38,No,Unknown,201.0, Research & Development ,10,High School,Unknown,Low,Female,99.0,Very Low,Coordinator, Research Director ,Medium,Married,13206.0,3376,3,No,12,"3,0",Very Low,Low,22.434618038861643,3,"3,0",18,1,11,Yes
41,Yes,Travel Rarely,1360.0, Research & Development ,12,High School,"58,0",Low,Female,49.0,Medium,Director, Research Director ,Medium,Married,19545.0,16280,1,No,12,"3,0",High,Zero,32.59998997636865,0,"3,0",22,15,8,No
55,No,Unknown,692.0, Research & Development ,14,Bachelor's,Unknown,Medium,Male,61.0,High,Director, Research Director ,Low,Single,6399.663530605464,13339,8,No,11,"3,0",High,Zero,11.52060986020989,3,"3,0",24,2,15,Yes
40,No,Travel Rarely,1398.0, Research & Development ,2,Bachelor's,"558,0",Medium,Female,79.0,Medium,Director, Manager ,Medium,Unknown,18041.0,13022,0,No,14,"3,0",High,Zero,30.188139622367935,2,"3,0",20,1,12,No
58,Yes,Travel Rarely,286.0, Research & Development ,2,Bachelor's,"825,0",High,Male,31.0,Medium,Director, Research Director ,Low,Single,19246.0,25761,7,Yes,12,"3,0",High,Zero,40.0,2,"3,0",31,13,8,No
46,No,Travel Rarely,1402.0, Research & Development ,2,High School,Unknown,Medium,Female,69.0,Medium,Manager, Manager ,Very Low,Unknown,14705.646260315134,24097,8,No,23,"4,0",Very Low,Zero,28.0,2,"3,0",26,15,9,No
35,No,Unknown,819.0, Research & Development ,13,Postgraduate,Unknown,Low,Male,48.0,High,Assistant, Research Scientist ,Very Low,Married,6399.663530605464,26312,1,No,11,"3,0",High,Zero,11.52060986020989,2,"3,0",16,1,10,No
40,No,Travel Rarely,884.0, Research & Development ,15,High School,Unknown,Very Low,Female,80.0,Low,Coordinator, Manufacturing Director ,Medium,Unknown,9665.421677213262,25800,1,No,13,"3,0",High,Medium,18.0,2,"3,0",18,14,12,Yes
45,No,Non Travel,1238.0, Research & Development ,1,Primary,"1712,0",Medium,Male,74.0,Low,Coordinator, Healthcare Representative ,Medium,Unknown,10748.0,3395,3,No,23,"4,0",High,Low,25.0,3,"2,0",23,14,4,No
33,No,Unknown,515.0, Research & Development ,1,Secondary,"73,0",Very Low,Female,98.0,Medium,Coordinator, Research Director ,High,Single,8153.354302282702,15146,1,Yes,12,"3,0",Medium,Zero,15.0,1,"3,0",15,8,12,Yes
36,No,Unknown,1223.0, Research & Development ,8,High School,Unknown,Medium,Female,59.0,Medium,Coordinator, Healthcare Representative ,Medium,Divorced,9161.399218903076,8202,1,No,13,"3,0",Low,High,17.0,2,"3,0",17,12,8,Yes
47,No,Unknown,202.0, Research & Development ,2,Secondary,"820,0",Medium,Female,33.0,Medium,Manager, Manager ,High,Married,16752.0,12982,1,No,11,"3,0",Medium,Low,28.12106840806812,3,"2,0",26,3,0,No
36,No,Travel Rarely,928.0, Research & Development ,42,Secondary,Unknown,High,Male,56.0,Medium,Assistant, Sales Executive ,High,Unknown,6201.0,2823,1,No,14,"3,0",High,Low,18.0,1,"3,0",18,4,11,Yes
35,No,Unknown,607.0, Research & Development ,9,High School,Unknown,High,Female,66.0,Low,Coordinator, Manufacturing Director ,Medium,Married,9161.399218903076,23457,1,Yes,20,"4,0",Low,Low,17.0,2,"3,0",17,5,15,No
52,Yes,Unknown,266.0, Research & Development ,2,Primary,Unknown,Very Low,Female,57.0,Very Low,Director, Manager ,High,Married,19845.0,25846,1,No,15,"3,0",High,Low,33.0,3,"3,0",32,6,9,Yes
36,No,Unknown,429.0, Research & Development ,2,Bachelor's,"1294,0",Medium,Female,53.0,Medium,Assistant, Manufacturing Director ,Low,Single,9665.421677213262,2323,9,Yes,11,"3,0",High,Zero,18.0,2,"3,0",16,5,12,No
33,No,Travel Rarely,589.0, Research & Development ,28,Bachelor's,Unknown,Low,Male,79.0,Medium,Assistant, Laboratory Technician ,Medium,Married,8153.354302282702,22949,1,No,12,"3,0",Low,Low,15.0,3,"3,0",15,5,7,Yes
34,No,Non Travel,802.0852348993288, Sales ,10,High School,"1774,0",High,Male,87.0,Medium,Assistant, Sales Executive ,Medium,Unknown,4001.0,12313,1,Yes,14,"3,0",Medium,Low,15.0,3,"3,0",15,0,7,Yes
41,No,Unknown,802.0852348993288, Sales ,37,Primary,"1815,0",Medium,Female,81.0,Medium,Coordinator, Sales Executive ,Medium,Divorced,10447.0,26458,0,No,13,"3,0",High,Low,18.010219683351018,3,"4,0",22,13,5,Yes
47,No,Unknown,1180.0, Research & Development ,25,High School,"1993,0",Very Low,Male,84.0,Medium,Coordinator, Healthcare Representative ,Medium,Unknown,13193.578885384573,13084,2,No,23,"4,0",Low,Zero,25.0,3,"3,0",17,12,11,Yes
53,No,Travel Rarely,1282.0, Research & Development ,5,High School,"32,0",Medium,Female,58.0,Medium,Director, Manager ,Medium,Unknown,13697.60134369476,10735,4,No,11,"3,0",High,Low,26.0,3,"2,0",14,4,8,Yes
35,No,Unknown,776.0, Research & Development ,1,Bachelor's,"100,0",Medium,Male,32.0,Low,Assistant, Sales Executive ,Very Low,Single,8657.376760592888,23016,0,No,14,"3,0",Low,Zero,16.0,2,"3,0",15,2,8,No
34,No,Travel Rarely,665.0, Research & Development ,6,Bachelor's,Unknown,Very Low,Female,41.0,Medium,Assistant, Research Scientist ,Medium,Single,8657.376760592888,12482,1,No,14,"3,0",Medium,Zero,16.0,3,"3,0",16,2,10,Yes
46,No,Travel Rarely,526.0, Research & Development ,1,Secondary,"244,0",Low,Female,92.0,Medium,Coordinator, Sales Executive ,Very Low,Divorced,12689.556427074385,2137,1,No,25,"4,0",Medium,High,24.0,2,"3,0",24,15,7,Yes
43,No,Unknown,1034.0, Research & Development ,16,High School,"327,0",High,Female,80.0,Medium,Manager, Manager ,High,Married,16064.0,7744,5,No,22,"4,0",Medium,Low,22.0,3,"3,0",17,1,9,Yes
36,No,Unknown,1403.0, Research & Development ,6,High School,"373,0",High,Male,47.0,Medium,Entry Level, Laboratory Technician ,High,Married,3210.0,20251,0,No,11,"3,0",Medium,Low,16.0,4,"3,0",15,10,11,Yes
60,No,Travel Frequently,1499.0, Research & Development ,28,High School,Unknown,Medium,Female,80.0,Low,Coordinator, Sales Executive ,Very Low,Married,10266.0,2845,4,No,19,"3,0",High,Zero,22.0,5,"4,0",18,13,11,Yes
40,No,Travel Frequently,580.0, Research & Development ,5,Bachelor's,"729,0",High,Male,48.0,Low,Coordinator, Sales Executive ,Very Low,Married,10475.0,23772,5,Yes,21,"4,0",Medium,Low,20.0,2,"3,0",18,1,12,No
32,No,Travel Rarely,859.0, Research & Development ,4,High School,"830,0",Medium,Female,98.0,Low,Assistant, Manufacturing Director ,Medium,Married,6162.0,19124,1,No,12,"3,0",Medium,Low,14.0,3,"3,0",14,6,8,No
41,No,Travel Rarely,263.0, Research & Development ,35,High School,Unknown,Medium,Male,59.0,Medium,Entry Level, Laboratory Technician ,Very Low,Single,4721.0,3119,2,Yes,13,"3,0",Medium,Zero,20.0,3,"3,0",18,2,17,Yes
53,No,Unknown,1376.0, Research & Development ,2,Secondary,"981,0",Medium,Male,66.0281045751634,Medium,Manager, Manager ,Medium,Divorced,11681.511510454011,13938,6,No,13,"3,0",Medium,Low,22.0,3,"4,0",17,15,2,No
36,Yes,Travel Rarely,885.0, Research & Development ,16,Bachelor's,"1042,0",Medium,Female,43.0,High,Entry Level, Laboratory Technician ,Very Low,Single,9665.421677213262,8269,1,No,16,"3,0",Medium,Zero,18.0,1,"3,0",17,15,14,Yes
46,No,Unknown,1003.0, Research & Development ,8,Bachelor's,"1080,0",High,Female,74.0,Low,Assistant, Research Scientist ,Very Low,Divorced,4615.0,21029,8,Yes,23,"4,0",Very Low,High,8.657885065975897,2,"3,0",16,1,7,No
38,No,Travel Rarely,1321.0, Research & Development ,1,Bachelor's,"1995,0",High,Male,86.0,Medium,Assistant, Sales Executive ,Low,Married,8657.376760592888,7636,0,No,15,"3,0",Very Low,Medium,16.0,3,"3,0",15,5,8,Yes
51,No,Unknown,802.0852348993288, Research & Development ,1,Bachelor's,"145,0",Very Low,Female,30.0,Low,Coordinator, Healthcare Representative ,Very Low,Single,12185.533968764199,25796,3,No,20,"4,0",Medium,Zero,23.0,1,"2,0",13,12,8,Yes
43,No,Unknown,394.0, Research & Development ,26,Secondary,"158,0",Medium,Male,92.0,Medium,Manager, Manager ,High,Married,16959.0,19494,1,Yes,12,"3,0",High,Medium,25.0,3,"4,0",25,4,12,Yes
37,No,Unknown,1372.0, Research & Development ,1,High School,"391,0",High,Female,42.0,Medium,Entry Level, Research Scientist ,High,Single,6399.663530605464,15881,1,No,12,"3,0",Low,Zero,11.52060986020989,3,"3,0",17,5,7,Yes
32,No,Travel Rarely,802.0852348993288, Research & Development ,8,Secondary,"436,0",Medium,Female,65.0,Low,Assistant, Sales Executive ,Low,Married,6399.663530605464,24624,1,Yes,11,"3,0",High,Zero,11.52060986020989,2,"3,0",13,11,9,Yes
38,No,Unknown,1333.0, Research & Development ,1,High School,Unknown,High,Female,80.0,Medium,Coordinator, Research Director ,Very Low,Married,8153.354302282702,16292,1,No,13,"3,0",Low,Low,15.0,3,"3,0",15,5,11,No
46,No,Unknown,228.0, Research & Development ,3,High School,"1527,0",Medium,Female,51.0,Medium,Manager, Manager ,Low,Unknown,12185.533968764199,11380,8,No,12,"3,0",High,Low,23.0,2,"4,0",13,5,1,Yes
35,Yes,Travel Rarely,737.0, Research & Development ,10,High School,Unknown,High,Male,55.0,Low,Coordinator, Sales Executive ,Very Low,Married,10306.0,21530,9,No,17,"3,0",Medium,Zero,15.0,3,"3,0",13,6,0,No
43,No,Unknown,823.0, Research & Development ,6,High School,"1866,0",Very Low,Female,81.0,Low,Director, Manager ,Medium,Married,11177.489052143825,22539,7,No,13,"3,0",High,Zero,21.0,2,"3,0",16,6,14,Yes
56,No,Non Travel,667.0, Research & Development ,1,Bachelor's,"2026,0",Medium,Male,57.0,Medium,Assistant, Healthcare Representative ,Medium,Divorced,6399.663530605464,26236,1,No,21,"3,0",Very Low,Low,11.52060986020989,2,"2,0",13,1,9,Yes
36,No,Non Travel,301.0, Research & Development ,15,Bachelor's,Unknown,High,Male,88.0,Very Low,Assistant, Sales Executive ,High,Divorced,5406.0,10436,1,No,24,"4,0",Very Low,Low,9.926351575294094,4,"2,0",15,11,11,Yes
38,No,Unknown,573.0, Research & Development ,6,High School,"107,0",Low,Female,79.0,Very Low,Assistant, Research Scientist ,High,Unknown,9161.399218903076,15717,7,No,12,"3,0",High,High,17.0,3,"3,0",13,1,9,Yes
49,No,Unknown,802.0852348993288, Research & Development ,26,Bachelor's,"170,0",Medium,Female,96.0,Medium,Assistant, Manufacturing Director ,Very Low,Unknown,8657.376760592888,5549,1,No,14,"3,0",Medium,Zero,16.0,2,"2,0",15,5,11,No
39,No,Travel Rarely,1329.0, Research & Development ,4,Bachelor's,Unknown,High,Female,47.0,Low,Assistant, Sales Executive ,Medium,Married,5902.0,14590,4,No,14,"3,0",Medium,Low,17.0,1,"4,0",15,5,9,Yes
40,No,Unknown,630.0, Research & Development ,4,Bachelor's,"215,0",Medium,Male,67.0,Low,Coordinator, Sales Executive ,High,Married,10855.0,8552,7,No,11,"3,0",Very Low,Low,15.0,2,"2,0",12,2,11,Yes
36,No,Unknown,802.0852348993288, Research & Development ,5,Secondary,"304,0",High,Male,62.0,Medium,Assistant, Laboratory Technician ,Low,Single,5914.0,9945,8,No,16,"3,0",High,Zero,16.0,3,"4,0",13,3,7,Yes
37,No,Unknown,1063.0, Research & Development ,25,Postgraduate,"529,0",Low,Female,72.0,Medium,Assistant, Research Scientist ,Medium,Married,8153.354302282702,23866,3,Yes,15,"3,0",Very Low,Medium,15.0,2,"3,0",13,10,7,No
35,No,Unknown,1017.0, Research & Development ,6,Bachelor's,"691,0",Low,Male,82.0,Very Low,Assistant, Research Scientist ,High,Unknown,6646.0,19368,1,No,13,"3,0",Low,Zero,11.914845218220217,3,"3,0",17,11,8,Yes
33,No,Travel Frequently,1296.0, Research & Development ,6,High School,"692,0",Medium,Male,66.0281045751634,Medium,Assistant, Healthcare Representative ,High,Divorced,8153.354302282702,5335,3,No,23,"4,0",Medium,Low,15.0,2,"1,0",13,4,7,No
50,No,Travel Rarely,939.0, Research & Development ,24,High School,"1005,0",High,Male,66.0281045751634,Medium,Manager, Manufacturing Director ,Medium,Married,13973.0,4161,3,Yes,18,"3,0",High,Low,22.0,2,"3,0",12,1,5,No
